"ordinal","reviewClass","lane","sourceBucket","id","team","slug","reason","exactDuplicateRemovalCount","duplicateGroups","reportAssets","warnings","errors"
"17","manual","S5_manual_conditional_or_alternative_asset","G_cash_bundle_review","KC-1964-0017","kansas-city-chiefs","1965-draft-pick-new-england-boston-patriots-1964","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=cash|alternative_or_slash :: 1965 draft pick (?-?, cash) OR || pick matches=1 flags=none :: 1967 second round pick (#47-Jim Lynch) || other matches=1 flags=cash :: cash","",""
"18","manual","S5_manual_conditional_or_alternative_asset","G_cash_bundle_review","NYG-1967-0113","green-bay-packers","undisclosed-consideration-green-bay-packers-1967","conditional/or/slash asset requires manual source interpretation","0","","player matches=1 flags=considerations :: undisclosed consideration || pick matches=1 flags=cash|alternative_or_slash :: 1968 tenth round pick (#260-Richard Cash / Rich Cash / Rick Cash / Dick Cash)","",""
"19","manual","S5_manual_conditional_or_alternative_asset","G_cash_bundle_review","CIN-1981-0089","new-england-patriots","mel-lunsford-new-england-patriots-1981","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=cash|conditional|alternative_or_slash :: cash / conditional draft pick (if Lundford makes Bengals roster) (not exercised)","",""
"20","manual","S5_manual_conditional_or_alternative_asset","H_or_alternative_source_conflict","RAM-1961-0091","los-angeles-rams","lindon-crow-either-a-high-draft-pick-or-a-player-to-be-named-before-the-1961-sea","conditional/or/slash asset requires manual source interpretation","0","","player matches=1 flags=none :: Lindon Crow || pick matches=1 flags=alternative_or_slash :: either a high draft pick or a player to be named before the 1961 season begins (from Bears) (Zeke Bratkowski on 1961-03-14) || pick matches=1 flags=none :: 1962 first round pick (from Giants) (#13-Jerry Hillebrand) || pick matches=1 flags=none :: 1962 sixth round pick (from Giants) (?-?)","",""
"21","manual","S5_manual_conditional_or_alternative_asset","H_or_alternative_source_conflict","WAS-1972-0174","pittsburgh-steelers","ocie-austin-pittsburgh-steelers-1972","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=conditional|alternative_or_slash :: 1973 conditional pick (if either Austin or Lanier makes Redskins roster) (not exercised)","",""
"22","manual","S5_manual_conditional_or_alternative_asset","H_or_alternative_source_conflict","PIT-1973-0222","pittsburgh-steelers","1974-seventh-or-eighth-round-pick-conditional-on-adams-playing-time-165-allen-sitterle-al-sitterle-new-england-boston-patriots-1973","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=conditional|alternative_or_slash :: 1974 seventh or eighth round pick (conditional on Adams' playing time) (#165-Allen Sitterle / Al Sitterle)","",""
"23","manual","S5_manual_transaction_or_sentence_context","H_or_alternative_source_conflict","MIN-1985-0153","tennessee-titans","1985-second-round-pick-30-issiac-holt-houston-oilers-tennessee-titans-1985","S5 report asset has transaction/source sentence context","0","","pick matches=1 flags=alternative_or_slash|transaction_verb_leak :: Vikings agreed to not draft Ray Childress with the 1985 #2 overall pick or to trade the pick to a team that would draft Childress with that pick","",""
"24","manual","S5_manual_conditional_or_alternative_asset","H_or_alternative_source_conflict","CIN-1986-0104","cincinnati-bengals","conditional-eleventh-or-twelfth-round-pick-if-collins-makes-packers-ro","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=conditional|alternative_or_slash :: conditional eleventh or twelfth round pick (if Collins makes Packers roster) (not exercised)","",""
"25","manual","S5_manual_conditional_or_alternative_asset","H_or_alternative_source_conflict","ATL-1988-0180","las-vegas-raiders","jessie-hester-lee-las-vegas-raiders-1988","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=alternative_or_slash :: 1989 fourth or fifth round pick (#119-Willis Crockett)","",""
"26","manual","S5_manual_conditional_or_alternative_asset","H_or_alternative_source_conflict","SF-1991-0268","green-bay-packers","tim-harris-david-green-bay-packers-1991","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=none :: 1992 second round pick (#45-Amp Lee) || pick matches=1 flags=alternative_or_slash :: 1993 second or third round pick (#54-Darrin Smith)","",""
"27","manual","S5_manual_conditional_or_alternative_asset","H_or_alternative_source_conflict","RAI-1992-0264","dallas-cowboys","alexander-wright-dallas-cowboys-1992","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=conditional|alternative_or_slash :: 1993 conditional pick (third or fourth round depending on Wright's playing time) (#96-Ron Stone)","",""
