"ordinal","strictClass","sublane","sourceLane","explanatoryFlags","errors","warnings","id","team","slug","assetIndex","before","parts"
"23","ready_with_warnings","CEXS3_punct_subsequently_traded_to_only","CEX1_punct_delimited_explanatory_pick_parts_review_candidate","subsequently","","split_part_already_exists_elsewhere=2007 6th round pick (195th overall subsequently traded, Deon Anderson) | 2007 6th round pick (198th overall, Doug Datish) | 2007 6th round pick (203rd overall, Daren Stone)","JAX-2007-0034","atlanta-falcons","2007-5th-round-pick-149th-overall-atlanta-falcons-2007","0","2007 6th round pick (195th overall subsequently traded, Deon Anderson), 2007 6th round pick (198th overall, Doug Datish), 2007 6th round pick (203rd overall, Daren Stone)","2007 6th round pick (195th overall subsequently traded, Deon Anderson) || 2007 6th round pick (198th overall, Doug Datish) || 2007 6th round pick (203rd overall, Daren Stone)"
"33","ready_with_warnings","CEXS3_punct_subsequently_traded_to_only","CEX1_punct_delimited_explanatory_pick_parts_review_candidate","subsequently","","split_part_already_exists_elsewhere=2025 3rd round pick (102nd overall subsequently traded, Tai Felton)","JAX-2025-0110","houston-texans","2025-3rd-round-pick-89th-overall-houston-texans-2025","0","2025 3rd round pick (102nd overall subsequently traded, Tai Felton), 2025 5th round pick (142nd overall subsequently traded, Rylie Mills)","2025 3rd round pick (102nd overall subsequently traded, Tai Felton) || 2025 5th round pick (142nd overall subsequently traded, Rylie Mills)"
"205","ready_no_warnings","CEXS6_after_later_because_review","CEX2_and_delimited_explanatory_pick_parts_review_candidate","later","","","MIN-2025-03-18-0318","san-francisco-49ers","jordan-mason-san-francisco-49ers-2025","0","2025 5th-round pick (#160 Marques Sigle) and 2026 6th-round pick (#198 later traded, Demond Claiborne)","2025 5th-round pick (#160 Marques Sigle) || 2026 6th-round pick (#198 later traded, Demond Claiborne)"
