"ordinal","reviewClass","sourceLane","lane","id","team","slug","assetIndex","before","splitParts","errors","beforeRisks"
"19","blocked_v2","CND3_strict_split_no_delimiter_multipick_bundle","CND_v2_blocked_transaction_text_or_non_clean_parts","SF-1995-0288","san-francisco-49ers","1995-1st-round-pick-10th-overall-j-j-stokes-traded-1996-1st-round-p-cleveland-browns-1995","0","1995 1st round pick (10th overall, J.J. Stokes)Traded 1996 1st round pick (26th overall, Ray Lewis) to for","1995 1st round pick (10th overall, J.J. Stokes)Traded || 1996 1st round pick (26th overall, Ray Lewis) to for","one_or_more_parts_not_strict_clean|original_contains_transaction_or_sentence_context","transaction_verb_leak|trailing_connector_fragment|post_parenthetical_route_language|word_glued_after_parenthetical|sentence_fragment_leak"
"38","blocked_v2","CND2_strict_split_bundle_create_missing_parts_dedupe_existing_parts","CND_v2_blocked_transaction_text_or_non_clean_parts","ATL-1997-0219","atlanta-falcons","1997-5th-round-pick-140th-overall-washington-commanders-1997","0","1997 5th round pick (140th overall, Keith Thibodeaux) to Redskins. Dolphins sent 1997 5th round pick (145th overall, Raymond Austin) to Jets. Jets sent James Brown to Dolphins. Redskins sent 1997 6th round pick (180th overall, Calvin Collins)","1997 5th round pick (140th overall, Keith Thibodeaux) to Redskins. Dolphins sent || 1997 5th round pick (145th overall, Raymond Austin) to Jets. Jets sent James Brown to Dolphins. Redskins sent || 1997 6th round pick (180th overall, Calvin Collins)","one_or_more_parts_not_strict_clean|original_contains_transaction_or_sentence_context","transaction_verb_leak|post_parenthetical_route_language|word_glued_after_parenthetical|sentence_fragment_leak|team_route_language"
"290","blocked_v2","CND2_strict_split_bundle_create_missing_parts_dedupe_existing_parts","CND_v2_blocked_transaction_text_or_non_clean_parts","PIT-2025-0390","pittsburgh-steelers","2026-3rd-round-pick-76th-overall-drew-allar-dallas-cowboys-2025","2","2026 3rd round pick (76th overall, Drew Allar) and a 2027 5th round pick","2026 3rd round pick (76th overall, Drew Allar) and a || 2027 5th round pick","one_or_more_parts_not_strict_clean","word_glued_after_parenthetical"
"291","blocked_v2","CND3_strict_split_no_delimiter_multipick_bundle","CND_v2_blocked_transaction_text_or_non_clean_parts","DEN-2025-08-20-0398","denver-broncos","2026-4th-round-pick-108th-overall-jonah-coleman-and-a-2027-7th-round-pick-new-orleans-sain","0","2026 4th round pick (108th overall, Jonah Coleman) and a 2027 7th round pick","2026 4th round pick (108th overall, Jonah Coleman) and a || 2027 7th round pick","one_or_more_parts_not_strict_clean","word_glued_after_parenthetical"
"293","blocked_v2","CND3_strict_split_no_delimiter_multipick_bundle","CND_v2_blocked_transaction_text_or_non_clean_parts","MIN-2025-08-24-0323","minnesota-vikings","draft-pick-trade-philadelphia-eagles-2025","0","2026 5th round pick (163rd overall, Charles Demmings) and a 2027 7th round pick","2026 5th round pick (163rd overall, Charles Demmings) and a || 2027 7th round pick","one_or_more_parts_not_strict_clean","word_glued_after_parenthetical"
"311","blocked_v2","CND3_strict_split_no_delimiter_multipick_bundle","CND_v2_blocked_transaction_text_or_non_clean_parts","PHI-2026-0482","philadelphia-eagles","eagles-2026-04-23-dallas-cowboys-0482","0","2026 1st round pick (20th overall, Makai Lemon) and a 2027 7th round pick","2026 1st round pick (20th overall, Makai Lemon) and a || 2027 7th round pick","one_or_more_parts_not_strict_clean","word_glued_after_parenthetical"
"316","blocked_v2","CND3_strict_split_no_delimiter_multipick_bundle","CND_v2_blocked_transaction_text_or_non_clean_parts","MIN-2026-04-24-0327","minnesota-vikings","draft-pick-trade-philadelphia-eagles-2026","0","2026 3rd round pick (98th overall, Jakobe Thomas) and a 2027 3rd round pick","2026 3rd round pick (98th overall, Jakobe Thomas) and a || 2027 3rd round pick","one_or_more_parts_not_strict_clean","word_glued_after_parenthetical"
"318","blocked_v2","CND3_strict_split_no_delimiter_multipick_bundle","CND_v2_blocked_transaction_text_or_non_clean_parts","BUF-2026-0351","buffalo-bills","2026-4th-round-pick-102nd-overall-jude-bowry-and-a-2027-7th-round-pick-las-vegas","0","2026 4th round pick (102nd overall, Jude Bowry) and a 2027 7th round pick","2026 4th round pick (102nd overall, Jude Bowry) and a || 2027 7th round pick","one_or_more_parts_not_strict_clean","word_glued_after_parenthetical"
"319","blocked_v2","CND3_strict_split_no_delimiter_multipick_bundle","CND_v2_blocked_transaction_text_or_non_clean_parts","MIN-2026-0321","new-england-patriots","2026-6th-round-pick-198th-overall-demond-claiborne-new-england-patriots-2026","0","2026 7th round pick (234th overall, Behren Morton) and a 2027 6th round pick","2026 7th round pick (234th overall, Behren Morton) and a || 2027 6th round pick","one_or_more_parts_not_strict_clean","word_glued_after_parenthetical"
"321","blocked_v2","CND3_strict_split_no_delimiter_multipick_bundle","CND_v2_blocked_transaction_text_or_non_clean_parts","SF-2026-0435","san-francisco-49ers","2026-5th-round-pick-154th-overall-jaden-dugger-baltimore-ravens-2026","0","2026 5th round pick (154th overall, Jaden Dugger) and a 2027 6th round pick","2026 5th round pick (154th overall, Jaden Dugger) and a || 2027 6th round pick","one_or_more_parts_not_strict_clean","word_glued_after_parenthetical"
