"ordinal","reviewClass","lane","sourceBucket","id","team","slug","reason","before","splitMode","splitParts","warnings","errors"
"1","manual","S2_manual_split_parts_not_all_clean_single_picks","C_multi_pick_bundle_needs_split","RAM-1971-0200","los-angeles-rams","1973-sixth-round-pick-133-jim-peterson-1973-second-round-pick-later-revised-to-1","split produced one or more non-clean single-pick parts","later revised to 1974 first round pick when it was discovered that Redskins had previously traded 1973 second round pick) (#20-Dave Gallagher)","and","later revised to 1974 first round pick when it was discovered that Redskins had previously traded 1973 second round pick) (#20-Dave Gallagher)","",""
"2","manual","S2_manual_split_parts_not_all_clean_single_picks","C_multi_pick_bundle_needs_split","NYG-1982-0222","new-england-patriots","undisclosed-consideration-new-england-patriots-1982","split produced one or more non-clean single-pick parts","1982 eleventh round pick > later changed to 1983 tenth round pick (#264-James Williams (c))","and","1982 eleventh round pick > later changed to 1983 tenth round pick (#264-James Williams (c))","",""
"3","manual","S2_manual_split_parts_not_all_clean_single_picks","C_multi_pick_bundle_needs_split","TB-1992-0148","dallas-cowboys","garry-lewis-1993-eighth-round-pick-224-daron-alcorn-pick-added-at-later-date","split produced one or more non-clean single-pick parts","1993 ninth round pick (later changed to 1993 eighth round pick when 1993 draft was reduced to eight rounds) (#203-Dave Thomas)","and","1993 ninth round pick (later changed to 1993 eighth round pick when 1993 draft was reduced to eight rounds) (#203-Dave Thomas)","",""
"4","manual","S2_manual_split_parts_not_all_clean_single_picks","C_multi_pick_bundle_needs_split","IND-2008-0322","philadelphia-eagles","an-undisclosed-2008-draft-pick-philadelphia-eagles-2008","split produced one or more non-clean single-pick parts","2009: Traded Greg Lewis and 2010 7th round pick (231st overall subsequently traded, Selvish Capers) to Patriots for 2009 5th round pick (159th overall, Fenuki Tupou)","and","2009: Traded Greg Lewis || 2010 7th round pick (231st overall subsequently traded, Selvish Capers) to Patriots for 2009 5th round pick (159th overall, Fenuki Tupou)","",""
"5","manual","S2_manual_split_parts_not_all_clean_single_picks","C_multi_pick_bundle_needs_split","PHI-2026-0481","green-bay-packers","eagles-2026-04-10-green-bay-packers-0481","split produced one or more non-clean single-pick parts","a 2027 6th round pick and 2026 5th round pick (153rd overall, Jager Burton)","and","a 2027 6th round pick || 2026 5th round pick (153rd overall, Jager Burton)","",""
"6","manual","S2_manual_split_parts_not_all_clean_single_picks","I_other_asset_structure_review","DET-1976-0201","detroit-lions","undisclosed-draft-pick-not-exercised-houston-oilers-tennessee-titans-1976-08-25","split produced one or more non-clean single-pick parts","undisclosed draft pick (not exercised) / undisclosed draft pick (not exercised) (AP)","and","undisclosed draft pick (not exercised) / undisclosed draft pick (not exercised) (AP)","",""
"7","manual","S2_manual_split_parts_not_all_clean_single_picks","I_other_asset_structure_review","DET-1976-0204","oilers-voided-when-altie-taylor-failed-physical","altie-taylor-oilers-voided-when-altie-taylor-failed-physical-1976-09-09","split produced one or more non-clean single-pick parts","undisclosed draft pick (not exercised) / undisclosed draft pick (not exercised) (AP)","and","undisclosed draft pick (not exercised) / undisclosed draft pick (not exercised) (AP)","",""
