"ordinal","reviewClass","lane","sourceBucket","id","team","slug","reason","bundle","playerText","pickText","projectedAssetsToCreate","projectedNetAssetChange","warnings","errors"
"50","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","NO-2017-0307","new-england-patriots","saints-2017-03-10-new-england-patriots-2017-1st-round-pick-32nd-overall-ryan-ram","bundle risks: explanatory_or_contingent|transaction_verb_leak","Brandin Cooks and 2017 4th round pick (118th overall subsequently traded, Mack Hollins)","Brandin Cooks","2017 4th round pick (118th overall subsequently traded, Mack Hollins)","0","0","",""
"51","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","PIT-2017-0357","cleveland-browns","2018-6th-round-pick-202nd-overall-subsequently-traded-jack-cichy-cleveland-browns-2017","bundle risks: explanatory_or_contingent|transaction_verb_leak","Sammie Coates and 2019 7th round pick (234th overall subsequently traded, Myles Gaskin)","Sammie Coates","2019 7th round pick (234th overall subsequently traded, Myles Gaskin)","0","0","",""
"52","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAM-2018-0488","los-angeles-rams","marcus-peters-and-2018-6th-round-pick-209th-overall-subsequently-traded-cornell","bundle risks: explanatory_or_contingent|transaction_verb_leak","Marcus Peters and 2018 6th round pick (209th overall subsequently traded, Cornell Armstrong)","Marcus Peters","2018 6th round pick (209th overall subsequently traded, Cornell Armstrong)","0","0","",""
"53","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","WAS-2018-0434","kansas-city-chiefs","alex-smith-kansas-city-chiefs-2018","bundle risks: explanatory_or_contingent|transaction_verb_leak","Kendall Fuller and 2018 3rd round pick (78th overall subsequently traded, Malik Jefferson)","Kendall Fuller","2018 3rd round pick (78th overall subsequently traded, Malik Jefferson)","0","0","",""
"54","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAI-2018-0369","dallas-cowboys","2018-5th-round-pick-173rd-overall-dallas-cowboys-2018","bundle risks: explanatory_or_contingent|transaction_verb_leak","Jamize Olawale and 2018 6th round pick (192nd overall subsequently traded, Jamil Demby)","Jamize Olawale","2018 6th round pick (192nd overall subsequently traded, Jamil Demby)","0","0","",""
"55","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAM-2018-0492","los-angeles-rams","brandin-cooks-and-2018-4th-round-pick-136th-overall-subsequently-traded-marquis","bundle risks: explanatory_or_contingent|transaction_verb_leak","Brandin Cooks and 2018 4th round pick (136th overall subsequently traded, Marquis Haynes)","Brandin Cooks","2018 4th round pick (136th overall subsequently traded, Marquis Haynes)","0","0","",""
"56","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CLE-2018-0424","new-england-patriots","2019-5th-round-pick-170th-overall-austin-seibert-new-england-patriots-2018-424","bundle risks: explanatory_or_contingent|transaction_verb_leak","Josh Gordon and 2019 7th round pick (243rd overall subsequently traded, Nick Scott)","Josh Gordon","2019 7th round pick (243rd overall subsequently traded, Nick Scott)","0","0","",""
"57","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","PHI-2019-0407","new-england-patriots","eagles-2019-03-13-new-england-patriots-0407","bundle risks: explanatory_or_contingent|transaction_verb_leak","Michael Bennett and 2020 7th round pick (235th overall subsequently traded, Jashon Cornell)","Michael Bennett","2020 7th round pick (235th overall subsequently traded, Jashon Cornell)","0","0","",""
"58","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","BUF-2019-0312","cleveland-browns","2020-5th-round-pick-155th-overall-subsequently-traded-trevis-gipson-and-2020-6th","bundle risks: explanatory_or_contingent|transaction_verb_leak","Wyatt Teller and 2021 7th round pick (257th overall subsequently traded, Jermar Jefferson)","Wyatt Teller","2021 7th round pick (257th overall subsequently traded, Jermar Jefferson)","0","0","",""
"59","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","NE-2019-0406","new-england-patriots","jermaine-eluemunor-and-2020-6th-round-pick-207th-overall-subsequently-traded-isaiah-hodgin","bundle risks: explanatory_or_contingent|transaction_verb_leak","Jermaine Eluemunor and 2020 6th round pick (207th overall subsequently traded, Isaiah Hodgins)","Jermaine Eluemunor","2020 6th round pick (207th overall subsequently traded, Isaiah Hodgins)","0","0","",""
"60","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CLE-2019-0432","detroit-lions","2022-7th-round-pick-223rd-overall-isaiah-thomas-detroit-lions-2019-432","bundle risks: explanatory_or_contingent|transaction_verb_leak","David Blough and 2022 7th round pick (234th overall subsequently traded, Jonathan Ford)","David Blough","2022 7th round pick (234th overall subsequently traded, Jonathan Ford)","0","0","",""
"61","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIA-2019-0284","miami-dolphins","evan-boehm-colts-2019","bundle risks: explanatory_or_contingent|transaction_verb_leak","Evan Boehm and 2020 7th round pick (227th overall subsequently traded, Lachavious Simmons)","Evan Boehm","2020 7th round pick (227th overall subsequently traded, Lachavious Simmons)","0","0","",""
"62","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAM-2019-0508","los-angeles-rams","kenny-young-and-2020-5th-round-pick-173rd-overall-subsequently-traded-darnell-mo","bundle risks: explanatory_or_contingent|transaction_verb_leak","Kenny Young and 2020 5th round pick (173rd overall subsequently traded, Darnell Mooney)","Kenny Young","2020 5th round pick (173rd overall subsequently traded, Darnell Mooney)","0","0","",""
"63","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAM-2019-0509","miami-dolphins","2022-7th-round-pick-238th-overall-subsequently-traded-thayer-munford-miami-dolph","bundle risks: explanatory_or_contingent|transaction_verb_leak","Aqib Talib and 2020 5th round pick (173rd overall subsequently traded, Darnell Mooney)","Aqib Talib","2020 5th round pick (173rd overall subsequently traded, Darnell Mooney)","0","0","",""
"64","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAM-2020-0510","houston-texans","2020-2nd-round-pick-57th-overall-van-jefferson-houston-texans-2020","bundle risks: explanatory_or_contingent|transaction_verb_leak","Brandin Cooks and 2022 4th round pick (137th overall subsequently traded, Bailey Zappe)","Brandin Cooks","2022 4th round pick (137th overall subsequently traded, Bailey Zappe)","0","0","",""
"65","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","SF-2020-0404","philadelphia-eagles","2020-6th-round-pick-190th-overall-charlie-woerner-philadelphia-eagles-2020","bundle risks: explanatory_or_contingent|transaction_verb_leak","Marquise Goodwin and 2021 7th round pick (240th overall subsequently traded, William Bradley-King)","Marquise Goodwin","2021 7th round pick (240th overall subsequently traded, William Bradley-King)","0","0","",""
"66","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAI-2020-0397","washington-commanders","2021-6th-round-pick-203rd-overall-subsequently-traded-football-team-2020","bundle risks: explanatory_or_contingent|transaction_verb_leak","David Sharpe and 2021 7th round pick (244th overall subsequently traded, Gerrid Doaks)","David Sharpe","2021 7th round pick (244th overall subsequently traded, Gerrid Doaks)","0","0","",""
"67","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIA-2020-0298","miami-dolphins","lynn-bowden-raiders-2020","bundle risks: explanatory_or_contingent|transaction_verb_leak","Lynn Bowden and 2021 6th round pick (203rd overall subsequently traded, Marquez Stevenson)","Lynn Bowden","2021 6th round pick (203rd overall subsequently traded, Marquez Stevenson)","0","0","",""
"68","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","JAX-2020-0080","jacksonville-jaguars","kamalei-correa-tennessee-titans-2020","bundle risks: explanatory_or_contingent|transaction_verb_leak","Kamalei Correa and 2021 7th round pick (249th overall subsequently traded, Ben Skowronek)","Kamalei Correa","2021 7th round pick (249th overall subsequently traded, Ben Skowronek)","0","0","",""
"69","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","SF-2020-0405","san-francisco-49ers","jordan-willis-new-york-jets-2020","bundle risks: explanatory_or_contingent|transaction_verb_leak","Jordan Willis and 2021 7th round pick (230th overall subsequently traded, Jimmy Morrissey)","Jordan Willis","2021 7th round pick (230th overall subsequently traded, Jimmy Morrissey)","0","0","",""
"70","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAI-2021-0399","new-england-patriots","2022-5th-round-pick-164th-overall-subsequently-traded-new-england-patriots-2021","bundle risks: explanatory_or_contingent|transaction_verb_leak","Trent Brown and 2022 7th round pick (243rd overall subsequently traded, Jaylen Watson)","Trent Brown","2022 7th round pick (243rd overall subsequently traded, Jaylen Watson)","0","0","",""
"71","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CIN-2021-0145","houston-texans","2021-6th-round-pick-202nd-overall-chris-evans-houston-texans-2021","bundle risks: explanatory_or_contingent|transaction_verb_leak","Ryan Finley and 2021 7th round pick (233rd overall subsequently traded, Jake Funk)","Ryan Finley","2021 7th round pick (233rd overall subsequently traded, Jake Funk)","0","0","",""
"72","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIN-2021-0282","kansas-city-chiefs","2022-6th-round-pick-191st-overall-jalen-nailor-kansas-city-chiefs-2021","bundle risks: explanatory_or_contingent|transaction_verb_leak","Mike Hughes and 2022 7th round pick (233rd overall subsequently traded, Dareke Young)","Mike Hughes","2022 7th round pick (233rd overall subsequently traded, Dareke Young)","0","0","",""
"73","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CHI-2021-0483","houston-texans","2022-5th-round-pick-148th-overall-subsequently-traded-khalil-shakir-ho","bundle risks: explanatory_or_contingent|transaction_verb_leak","Anthony Miller and 2022 7th round pick (228th overall subsequently traded, Tariq Carpenter)","Anthony Miller","2022 7th round pick (228th overall subsequently traded, Tariq Carpenter)","0","0","",""
"74","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CAR-2021-0081","las-vegas-raiders","panthers-las-vegas-raiders-trade-2021-0081","bundle risks: explanatory_or_contingent|transaction_verb_leak","Denzel Perryman and 2022 7th round pick (227th overall subsequently traded, Nick Muse)","Denzel Perryman","2022 7th round pick (227th overall subsequently traded, Nick Muse)","0","0","",""
"75","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","IND-2021-0371","indianapolis-colts","matt-pryor-and-2022-7th-round-pick-240th-overall-subsequently-traded-christian-h","bundle risks: explanatory_or_contingent|transaction_verb_leak","Matt Pryor and 2022 7th round pick (240th overall subsequently traded, Christian Holmes)","Matt Pryor","2022 7th round pick (240th overall subsequently traded, Christian Holmes)","0","0","",""
"76","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","PHI-2021-0429","philadelphia-eagles","eagles-2021-10-15-arizona-st-louis-cardinals-0429","bundle risks: explanatory_or_contingent|transaction_verb_leak","Tay Gowan and 2022 5th round pick (166th overall subsequently traded, Tycen Anderson)","Tay Gowan","2022 5th round pick (166th overall subsequently traded, Tycen Anderson)","0","0","",""
"77","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CLE-2022-0445","cleveland-browns","deshaun-watson-and-2024-6th-round-pick-203rd-overall-subsequently-traded-will-re","bundle risks: explanatory_or_contingent|transaction_verb_leak","Deshaun Watson and 2024 6th round pick (203rd overall subsequently traded, Will Reichard)","Deshaun Watson","2024 6th round pick (203rd overall subsequently traded, Will Reichard)","0","0","",""
"78","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CAR-2022-0089","tennessee-titans","panthers-tennessee-titans-trade-2022-0089","bundle risks: explanatory_or_contingent|transaction_verb_leak","Dennis Daley and 2024 7th round pick (221st overall subsequently traded, Travis Clayton)","Dennis Daley","2024 7th round pick (221st overall subsequently traded, Travis Clayton)","0","0","",""
"79","manual","DPP_manual_not_exactly_one_parseable_current_bundle","D_player_plus_pick_bundle_needs_split","PIT-2022-0377","pittsburgh-steelers","william-jackson-iii-washington-redskins-commanders-2022","expected exactly one parseable current player+pick bundle, found 0","","","","0","0","",""
"80","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DEN-2023-01-31-0382","denver-broncos","sean-payton-and-2024-3rd-round-pick-81st-overall-subsequently-traded-christian-haynes-new","bundle risks: explanatory_or_contingent|transaction_verb_leak","Sean Payton and 2024 3rd round pick (81st overall subsequently traded, Christian Haynes)","Sean Payton","2024 3rd round pick (81st overall subsequently traded, Christian Haynes)","0","0","",""
"81","manual","DPP_manual_not_exactly_one_parseable_current_bundle","D_player_plus_pick_bundle_needs_split","CAR-2023-0094","san-francisco-49ers","panthers-san-francisco-49ers-trade-2023-0094","expected exactly one parseable current player+pick bundle, found 0","","","","0","0","",""
"82","manual","DPP_manual_not_exactly_one_parseable_current_bundle","D_player_plus_pick_bundle_needs_split","NYJ-2023-0299","detroit-lions","a-conditional-2025-pick-6th-round-detroit-lions-2023","expected exactly one parseable current player+pick bundle, found 0","","","","0","0","",""
"83","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","ARI-2023-0337","houston-texans","cardinals-2023-08-24-houston-texans-2024-5th-round-pick-162nd-overall-christian-jones-josh-jone","bundle risks: explanatory_or_contingent|transaction_verb_leak","Josh Jones and 2024 7th round pick (224th overall subsequently traded, Daijahn Anthony)","Josh Jones","2024 7th round pick (224th overall subsequently traded, Daijahn Anthony)","0","0","",""
"84","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CLE-2023-0455","arizona-cardinals","2024-5th-round-pick-156th-overall-jamari-thrash-arizona-st-louis-cardinals-2023","bundle risks: explanatory_or_contingent|transaction_verb_leak","Joshua Dobbs and 2024 7th round pick (230th overall subsequently traded, Michael Jurgens)","Joshua Dobbs","2024 7th round pick (230th overall subsequently traded, Michael Jurgens)","0","0","",""
"85","manual","DPP_manual_not_exactly_one_parseable_current_bundle","D_player_plus_pick_bundle_needs_split","MIN-2023-0301","minnesota-vikings","cam-akers-los-angeles-st-louis-rams-2023","expected exactly one parseable current player+pick bundle, found 0","","","","0","0","",""
"86","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CHI-2023-0499","miami-dolphins","2025-6th-round-pick-192nd-overall-subsequently-traded-bryce-cabeldue-m","bundle risks: explanatory_or_contingent|transaction_verb_leak","Chase Claypool and 2025 7th round pick (224th overall subsequently traded, Kyonte Hamilton)","Chase Claypool","2025 7th round pick (224th overall subsequently traded, Kyonte Hamilton)","0","0","",""
"87","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAM-2023-0534","atlanta-falcons","2025-6th-round-pick-190th-overall-subsequently-traded-tim-smith-atlanta-falcons","bundle risks: explanatory_or_contingent|transaction_verb_leak","Van Jefferson and 2025 7th round pick (242nd overall subsequently traded, Konata Mumpfield)","Van Jefferson","2025 7th round pick (242nd overall subsequently traded, Konata Mumpfield)","0","0","",""
"88","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","KC-2023-0285","kansas-city-chiefs","mecole-hardman-and-2025-7th-round-pick-new-york-jets-2023","bundle risks: explanatory_or_contingent|transaction_verb_leak","Mecole Hardman and 2025 7th round pick (225th overall subsequently traded, Kitan Crawford)","Mecole Hardman","2025 7th round pick (225th overall subsequently traded, Kitan Crawford)","0","0","",""
"89","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","PIT-2024-0384","philadelphia-eagles","2024-3rd-round-pick-98th-overall-payton-wilson-2025-7th-round-pick-223rd-overall-subsequently-traded-damien-martinez-philadelphia-eagles-2024","bundle risks: explanatory_or_contingent|transaction_verb_leak","Kenny Pickett and 2024 4th round pick (120th overall subsequently traded, Jaylen Wright)","Kenny Pickett","2024 4th round pick (120th overall subsequently traded, Jaylen Wright)","0","0","",""
"90","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAM-2024-0536","houston-texans","2026-6th-round-pick-207th-overall-subsequently-traded-micah-morris-houston-texan","bundle risks: explanatory_or_contingent|transaction_verb_leak","Ben Skowronek and 2026 7th round pick (245th overall subsequently traded, Jam Miller)","Ben Skowronek","2026 7th round pick (245th overall subsequently traded, Jam Miller)","0","0","",""
"91","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DAL-2024-0343","dallas-cowboys","jordan-phillips-and-2026-7th-round-pick-new-york-giants-2024","bundle risks: explanatory_or_contingent|transaction_verb_leak","Jordan Phillips and 2026 7th round pick (221st overall subsequently traded, Jack Endries)","Jordan Phillips","2026 7th round pick (221st overall subsequently traded, Jack Endries)","0","0","",""
"92","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","WAS-2024-0458","philadelphia-eagles","2025-3rd-round-pick-79th-overall-subsequently-traded-jaylin-noel-2025-7th-round-pick-236th","bundle risks: explanatory_or_contingent|transaction_verb_leak","Jahan Dotson and 2025 5th round pick (165th overall subsequently traded, Oronde Gadsden)","Jahan Dotson","2025 5th round pick (165th overall subsequently traded, Oronde Gadsden)","0","0","",""
"93","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CLE-2024-0463","chicago-bears","2025-6th-round-pick-192nd-overall-subsequently-traded-bryce-cabeldue-chicago-bea","bundle risks: explanatory_or_contingent|transaction_verb_leak","Chris Williams and 2025 7th round pick (240th overall subsequently traded, Kaden Prather)","Chris Williams","2025 7th round pick (240th overall subsequently traded, Kaden Prather)","0","0","",""
"94","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAM-2024-0537","tennessee-titans","2026-5th-round-pick-144th-overall-subsequently-traded-sam-hecht-tennessee-titans","bundle risks: explanatory_or_contingent|transaction_verb_leak","Ernest Jones and 2026 6th round pick (207th overall subsequently traded, Micah Morris)","Ernest Jones","2026 6th round pick (207th overall subsequently traded, Micah Morris)","0","0","",""
"95","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","BUF-2024-0341","buffalo-bills","amari-cooper-and-2025-6th-round-pick-204th-overall-subsequently-traded-ajani-cor","bundle risks: explanatory_or_contingent|transaction_verb_leak","Amari Cooper and 2025 6th round pick (204th overall subsequently traded, Ajani Cornelius)","Amari Cooper","2025 6th round pick (204th overall subsequently traded, Ajani Cornelius)","0","0","",""
"96","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIN-2024-0308","minnesota-vikings","cam-akers-houston-texans-2024","bundle risks: explanatory_or_contingent|transaction_verb_leak","Cam Akers and 2026 7th round pick (244th overall subsequently traded, Cole Wisniewski)","Cam Akers","2026 7th round pick (244th overall subsequently traded, Cole Wisniewski)","0","0","",""
"97","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CAR-2024-0104","baltimore-ravens","panthers-baltimore-ravens-trade-2024-0104","bundle risks: explanatory_or_contingent|transaction_verb_leak","Diontae Johnson and 2025 6th round pick (183rd overall subsequently traded, Marcus Harris)","Diontae Johnson","2025 6th round pick (183rd overall subsequently traded, Marcus Harris)","0","0","",""
"98","manual","DPP_manual_not_exactly_one_parseable_current_bundle","D_player_plus_pick_bundle_needs_split","MIN-2024-10-29-0316","minnesota-vikings","cam-robinson-jacksonville-jaguars-2024","expected exactly one parseable current player+pick bundle, found 0","","","","0","0","",""
"99","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","NO-2024-0337","washington-commanders","saints-2024-11-05-washington-commanders-2025-3rd-round-pick-93rd-overall-jonas-s","bundle risks: explanatory_or_contingent|transaction_verb_leak","Marshon Lattimore and 2025 5th round pick (147th overall subsequently traded, Jordan James)","Marshon Lattimore","2025 5th round pick (147th overall subsequently traded, Jordan James)","0","0","",""
"100","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","PHI-2025-0464","philadelphia-eagles","eagles-2025-03-11-houston-texans-0464","bundle risks: explanatory_or_contingent|transaction_verb_leak","Kenyon Green and 2026 5th round pick (167th overall subsequently traded, Jalon Kilgore)","Kenyon Green","2026 5th round pick (167th overall subsequently traded, Jalon Kilgore)","0","0","",""
